model,term,coefficient,std_error,odds_ratio,ci_low,ci_high,p_value,reference_category,contrast,inference
pre_any,hour_1,-0.40290748137752747,0.05462131559188419,0.6683739334987338,0.6005176217726893,0.7438977621703591,1.6265355391428225e-13,0,Category versus omitted reference,Exploratory; date-clustered; not causal
pre_any,hour_10,-0.09555237343175349,0.09682002701298593,0.9088707597264367,0.7517765505904938,1.0987919977510345,0.32368817643129477,0,Category versus omitted reference,Exploratory; date-clustered; not causal
pre_any,hour_11,-0.04993710808648367,0.10772877729406675,0.9512892510206964,0.7702180428548704,1.1749286419638372,0.6429739533674739,0,Category versus omitted reference,Exploratory; date-clustered; not causal
pre_any,hour_12,0.3544007919712299,0.14990958668337628,1.425326331367095,1.0624562039281311,1.9121307244263632,0.01807408355961088,0,Category versus omitted reference,Exploratory; date-clustered; not causal
pre_any,hour_13,0.48365135088593486,0.14277995473471586,1.62198604306263,1.2260624593979175,2.145762398745896,0.0007056107805892235,0,Category versus omitted reference,Exploratory; date-clustered; not causal
pre_any,hour_14,0.506836789587874,0.11912698294988545,1.6600318510898067,1.3143630733422225,2.096609226570339,2.0942990254652563e-05,0,Category versus omitted reference,Exploratory; date-clustered; not causal
pre_any,hour_15,0.47601342300807203,0.0959589145240929,1.6096446220861822,1.3336738222587143,1.9427207508826385,7.027716053954566e-07,0,Category versus omitted reference,Exploratory; date-clustered; not causal
pre_any,hour_16,0.5109083455039769,0.08531418379627562,1.6668045419325392,1.410149345947641,1.9701724423663265,2.117186790607667e-09,0,Category versus omitted reference,Exploratory; date-clustered; not causal
pre_any,hour_17,0.42863639517861163,0.08832129518552062,1.5351627403302932,1.2911455370589064,1.8252974367760164,1.2151639208116592e-06,0,Category versus omitted reference,Exploratory; date-clustered; not causal
pre_any,hour_18,0.32164211411299876,0.09702819774141636,1.379391023029116,1.1405040810729206,1.6683145864970004,0.0009166462084895773,0,Category versus omitted reference,Exploratory; date-clustered; not causal
pre_any,hour_19,0.42452182595973337,0.15071791391872738,1.528859184075326,1.137826817715451,2.0542760711375796,0.004852515766130926,0,Category versus omitted reference,Exploratory; date-clustered; not causal
pre_any,hour_2,-0.6973222560480719,0.18935790542245137,0.4979168140113606,0.34353821184777383,0.7216698030234869,0.00023090154742088482,0,Category versus omitted reference,Exploratory; date-clustered; not causal
pre_any,hour_20,0.5888581652431447,0.241765714120492,1.801929734284689,1.1218802505845875,2.894204408721317,0.014864804395909224,0,Category versus omitted reference,Exploratory; date-clustered; not causal
pre_any,hour_21,0.6562996295295662,0.234805272577323,1.9276461159635063,1.2166360958328737,3.0541750003278088,0.0051886799520699176,0,Category versus omitted reference,Exploratory; date-clustered; not causal
pre_any,hour_22,0.5678146470048318,0.17235588131746835,1.76440698307883,1.2586041974231952,2.4734797550421437,0.000986209736056461,0,Category versus omitted reference,Exploratory; date-clustered; not causal
pre_any,hour_23,0.3989437684698071,0.09909299821111618,1.4902498172236924,1.227187616663488,1.8097025162080294,5.674498668120777e-05,0,Category versus omitted reference,Exploratory; date-clustered; not causal
pre_any,hour_3,-2.6898658581873427,0.6854398865023821,0.06789004565476664,0.017715712004347378,0.2601678271737117,8.69853907813707e-05,0,Category versus omitted reference,Exploratory; date-clustered; not causal
pre_any,hour_4,-21.371333336215077,1.4758899256105664,5.230556060400345e-10,2.899132595864163e-11,9.436862853399705e-09,1.613841583278287e-47,0,Category versus omitted reference,Exploratory; date-clustered; not causal
pre_any,hour_5,-1.1228243133787734,1.0389894087010667,0.32535957833514306,0.042459434774356784,2.4931762699383637,0.2798355256539332,0,Category versus omitted reference,Exploratory; date-clustered; not causal
pre_any,hour_6,-0.6372032307659746,1.3309098510458104,0.5287692034148993,0.038939792588696565,7.180235227066629,0.6321003785914538,0,Category versus omitted reference,Exploratory; date-clustered; not causal
pre_any,hour_7,-0.18340504410146405,0.316757702311161,0.8324309162107737,0.4474284096696406,1.5487197846358085,0.562584200359044,0,Category versus omitted reference,Exploratory; date-clustered; not causal
pre_any,hour_8,-0.17998614438605287,0.16315632862095497,0.83528178467304,0.6066721966080797,1.1500373079686421,0.26996139056171764,0,Category versus omitted reference,Exploratory; date-clustered; not causal
pre_any,hour_9,-0.09579322748963967,0.1220809873321345,0.9086518808758502,0.7152897555539744,1.1542850071713608,0.4326473687598509,0,Category versus omitted reference,Exploratory; date-clustered; not causal
pre_any,weekday_1,0.02709604473915305,0.06479799936676749,1.0274664807747962,0.9049227479653439,1.1666049632296065,0.6758288605061722,0,Category versus omitted reference,Exploratory; date-clustered; not causal
pre_any,weekday_2,0.02735170845152879,0.056763451601490995,1.0277292002521001,0.9195208017271982,1.148671467863302,0.6299095123589197,0,Category versus omitted reference,Exploratory; date-clustered; not causal
pre_any,weekday_3,0.010350612830983638,0.04577284849746422,1.01040436572235,0.9237050006387285,1.1052413720450094,0.8211003359950656,0,Category versus omitted reference,Exploratory; date-clustered; not causal
pre_any,weekday_4,0.0347284387739195,0.05577746366289018,1.0353385128244386,0.9281208010204689,1.1549421529599784,0.5335310321900975,0,Category versus omitted reference,Exploratory; date-clustered; not causal
pre_any,weekday_5,0.015852798715033353,0.05248389863590973,1.0159791209662206,0.9166644892284462,1.126053846711249,0.7626134080831697,0,Category versus omitted reference,Exploratory; date-clustered; not causal
pre_any,weekday_6,0.1122482318613419,0.03512806913382612,1.1187905456380833,1.0443539676951858,1.1985326084139418,0.0013963716697512618,0,Category versus omitted reference,Exploratory; date-clustered; not causal
pre_any,vertical_group_courier,0.5133320576843646,0.041558854441328355,1.670849296083062,1.5401475133697715,1.8126428449136485,4.755671502546445e-35,Other,Category versus omitted reference,Exploratory; date-clustered; not causal
pre_any,vertical_group_darkstores,-0.1508253372673091,0.03489956022458518,0.859997895124432,0.8031392094266243,0.9208819230061807,1.5483346913081253e-05,Other,Category versus omitted reference,Exploratory; date-clustered; not causal
pre_any,vertical_group_hypermarket,0.10838307279165546,0.03360769322881547,1.1144745885171052,1.043429834209916,1.1903566178849516,0.0012599542439227143,Other,Category versus omitted reference,Exploratory; date-clustered; not causal
pre_any,vertical_group_kiosks,0.04850997277192651,0.029474110609949703,1.04970584024506,0.9907845028866278,1.1121311928419135,0.09979459054239434,Other,Category versus omitted reference,Exploratory; date-clustered; not causal
pre_any,vertical_group_restaurants,0.07053443111830367,0.02275172502124763,1.0730815161912837,1.0262812884852357,1.1220159164072587,0.001934034074337532,Other,Category versus omitted reference,Exploratory; date-clustered; not causal
pre_any,_distance_band_1-2km,0.49390084426432507,0.014578524226487697,1.6386960666237433,1.5925355981371772,1.6861945201785191,1.3739092731788793e-251,0.5-1km,Category versus omitted reference,Exploratory; date-clustered; not causal
pre_any,_distance_band_2-3km,1.0181985235388873,0.021956838554509868,2.768203416122634,2.6516018014249663,2.889932473614614,0.0,0.5-1km,Category versus omitted reference,Exploratory; date-clustered; not causal
pre_any,_distance_band_<=0.5km,-0.21418431352087136,0.013985197769845803,0.807199593511833,0.7853743487614979,0.8296313532434163,6.064450853346984e-53,0.5-1km,Category versus omitted reference,Exploratory; date-clustered; not causal
pre_any,_distance_band_>3km,1.3828419611643037,0.0272701848764107,3.9862142108992993,3.7787504301852395,4.205068323180205,0.0,0.5-1km,Category versus omitted reference,Exploratory; date-clustered; not causal
pre_any,log_hour_orders,-0.46609916414208485,0.10743424873694428,0.7239193256346839,0.6256091756823526,0.8376782349072543,1.4348475430646465e-05,Not a category contrast,Per doubling at the other exposure's mean log level,Exploratory; date-clustered; not causal
pre_any,log_observed_rider_hours,0.09270967117225926,0.09355050759044913,1.0663711620560672,0.9391021800499284,1.2108878878380938,0.3216797439991821,Not a category contrast,Per doubling at the other exposure's mean log level,Exploratory; date-clustered; not causal
pre_any,demand_supply_interaction,0.0005132028908537145,0.04492226202392067,1.0005133346019879,0.9161888084557479,1.0925989528333548,0.9908849702159023,Not a category contrast,Centered log-demand x log-supply product,Exploratory; date-clustered; not causal
post_any,hour_1,-0.3160889153082218,0.13417984837473432,0.728994628503762,0.5604156235788634,0.9482839985679896,0.018487305317124465,0,Category versus omitted reference,Exploratory; date-clustered; not causal
post_any,hour_10,0.11087985695042218,0.17590872217458792,1.117260667686879,0.7914449899570312,1.5772055106797775,0.528481256916057,0,Category versus omitted reference,Exploratory; date-clustered; not causal
post_any,hour_11,0.0980198401543897,0.14887241869101697,1.1029846682775324,0.8238517018347379,1.4766919528671913,0.5102714708861337,0,Category versus omitted reference,Exploratory; date-clustered; not causal
post_any,hour_12,0.33398955029107824,0.1227943856061707,1.3965285501814069,1.0978096605349703,1.7765301778464864,0.006529989090588197,0,Category versus omitted reference,Exploratory; date-clustered; not causal
post_any,hour_13,0.3713579472369748,0.12744571277325029,1.44970189731389,1.1292672151689351,1.8610613704579158,0.0035699909162915577,0,Category versus omitted reference,Exploratory; date-clustered; not causal
post_any,hour_14,0.2520063075122264,0.11757978400372764,1.2866041525306697,1.0217881345598139,1.6200523272099723,0.03209068454770984,0,Category versus omitted reference,Exploratory; date-clustered; not causal
